date,pm1,latitude,longitude,pm25
2022-03-05T00:00:00.000Z,7.56,41.650791,-8.43569,7.56
2022-03-06T00:00:00.000Z,2.67,41.650791,-8.43569,2.67
2022-03-07T00:00:00.000Z,3.34,41.650791,-8.43569,3.34
2022-03-08T00:00:00.000Z,5.43,41.650791,-8.43569,5.43
2022-03-09T00:00:00.000Z,6.13,41.650791,-8.43569,6.13
2022-03-10T00:00:00.000Z,7.02,41.650791,-8.43569,7.02
2022-03-11T00:00:00.000Z,5.7,41.650791,-8.43569,5.7
2022-03-12T00:00:00.000Z,8.98,41.650791,-8.43569,8.98
2022-03-13T00:00:00.000Z,7.54,41.650791,-8.43569,7.54
2022-03-14T00:00:00.000Z,6.35,41.650791,-8.43569,6.35
2022-03-15T00:00:00.000Z,22.67,41.650791,-8.43569,22.67
