date,latitude,longitude,parameter,value,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-09-20,41.449722,-8.296389,no2,77.1,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,0.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,74.6,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,43.4,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,5.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,12.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,32.7,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,22.9,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,12.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,23.4,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,10.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,9.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,26.5,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,9.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,27.3,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,9.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,27.8,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,no2,42.7,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-20,41.449722,-8.296389,pm10,5.0,75.9,55.6,65.3,65.3,52.6,66.1,,0.0,0,14.2,1022.6,3.6,7.6,244.2,21.2,8
2021-09-14,41.449722,-8.296389,no2,40.7,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,13.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,13.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,42.9,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,15.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,39.4,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,15.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,37.8,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,43.4,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,19.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,56.4,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,19.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,23.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,44.1,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,24.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,37.5,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,31.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,32.8,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,32.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,31.4,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,29.8,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,28.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,28.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,33.7,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,29.7,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,1.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,38.5,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,0.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,0.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,68.1,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,61.9,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,0.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,6.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,41.2,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
