date,min,max,median,q1,q3,stdev,count
2022-05-16T00:00:00.000Z,0,28.9,2.2,0.5,4.1,3.566,435
2022-05-17T00:00:00.000Z,0,35,3.55,2.2,5.6,6.317,566
2022-05-18T00:00:00.000Z,0,52.4,2,0.35,5.8,5.977,488
2022-05-19T00:00:00.000Z,0.2,53.4,4.4,3,6.1,5.592,589
2022-05-20T00:00:00.000Z,2.5,30.8,6.85,4.7,12,5.966,590
2022-05-21T00:00:00.000Z,5.8,60.4,18.89,8.5,26.8,10.944,611
2022-05-22T00:00:00.000Z,0.2,20.3,5.2,2.6,7.7,4.096,575
2022-05-23T00:00:00.000Z,0,21.3,1.05,0.3,2.8,2.514,468
2022-05-24T00:00:00.000Z,0,21.9,0.1,0,0.3,2.333,304
2022-05-25T00:00:00.000Z,0,24.8,0.4,0.1,1.1,3.107,449
2022-05-26T00:00:00.000Z,0,42.1,1.5,0.5,5.1,7.084,446
2022-05-27T00:00:00.000Z,0,18.4,1,0.3,4.2,3.7,77
2022-05-28T00:00:00.000Z,138074,138074,138074,138074,138074,0,1
2022-05-29T00:00:00.000Z,3.7,49.6,7.1,5.8,9.2,6.65,282
2022-05-30T00:00:00.000Z,1.6,57.2,16.4,9.5,21.2,9.208,639
2022-05-31T00:00:00.000Z,0.3,84.9,12,7.75,19.5,10.823,637
2022-06-01T00:00:00.000Z,0,32.6,2.2,0.8,12.35,8.93,604
2022-06-02T00:00:00.000Z,0,12.1,4.7,2.5,6.4,2.536,355
2022-06-03T00:00:00.000Z,0,22.1,1.3,0.6,2.6,2.262,425
2022-06-04T00:00:00.000Z,0,60.1,3.9,1.3,6.3,7.896,591
2022-06-05T00:00:00.000Z,0,21.3,4,0.6,7.2,4.102,457
2022-06-06T00:00:00.000Z,0,21.5,3,2.1,4.3,4.359,564
2022-06-07T00:00:00.000Z,0,29.3,1.9,0.6,3.7,3.737,571
2022-06-08T00:00:00.000Z,0,34,1.2,0.2,3.6,3.986,301
2022-06-09T00:00:00.000Z,0,38,2.4,1.4,3.3,2.976,583
2022-06-10T00:00:00.000Z,0.4,18.3,3.9,2.6,6.3,3.145,618
2022-06-11T00:00:00.000Z,0.7,23.9,4.6,2.6,5.6,2.318,617
2022-06-12T00:00:00.000Z,3.9,39.6,14.3,5.7,19.2,6.925,641
2022-06-13T00:00:00.000Z,4.2,32.5,9.4,6.8,18.39,6.888,642
2022-06-14T00:00:00.000Z,7.7,37.7,22.8,17.6,25.75,6.558,649
2022-06-15T00:00:00.000Z,9.3,55.5,26.4,20.05,31.6,8.729,636
2022-06-16T00:00:00.000Z,4.7,27.6,14.5,11.25,18.7,4.818,645
2022-06-17T00:00:00.000Z,5.6,27.3,15,10.8,18.2,4.866,579
2022-06-18T00:00:00.000Z,0,23,4.9,1.3,17.89,7.92,627
2022-06-19T00:00:00.000Z,0,16.9,4.2,0.1,6.1,3.47,383
2022-06-20T00:00:00.000Z,0,13.9,0.2,0.1,0.5,1.209,258
2022-06-21T00:00:00.000Z,0.6,34.6,6.95,4.25,12.3,6.25,648
2022-06-22T00:00:00.000Z,0,50.7,3.7,0.7,7.4,5.758,603
2022-06-23T00:00:00.000Z,0.8,32.5,7.3,5.5,11.3,6.387,603
2022-06-24T00:00:00.000Z,0,44.7,21.2,18,27.4,10.488,311
2022-06-25T00:00:00.000Z,0,17.1,0.6,0.2,1.9,1.615,547
2022-06-26T00:00:00.000Z,0,16,0.2,0.1,0.5,1.484,368
2022-06-27T00:00:00.000Z,0,8.4,0.2,0.1,0.6,0.622,501
2022-06-28T00:00:00.000Z,0,20.9,0.6,0.2,1.2,1.508,471
2022-06-29T00:00:00.000Z,0,10.7,0.2,0.1,1.1,1.211,450
2022-06-30T00:00:00.000Z,0,5,0.1,0,0.2,0.468,388
2022-07-01T00:00:00.000Z,0,11.2,0.7,0.35,1.1,0.846,605
2022-07-02T00:00:00.000Z,1.3,37.4,6.9,5.09,11.35,5.317,621
2022-07-03T00:00:00.000Z,10.3,43,21.9,20,24,4.66,643
2022-07-04T00:00:00.000Z,6,40.1,19.2,9.5,24.1,7.783,637
2022-07-05T00:00:00.000Z,0.1,46.1,17.35,6.5,25,9.737,636
2022-07-06T00:00:00.000Z,3.4,24.5,5.7,4.8,8.6,4.282,628
2022-07-07T00:00:00.000Z,0,23.5,1.1,0.2,2.3,5.188,358
2022-07-08T00:00:00.000Z,0,22.2,5.3,1.5,7.8,3.762,344
2022-07-09T00:00:00.000Z,0,78.2,6.65,3.7,9.2,12.993,590
2022-07-10T00:00:00.000Z,5.4,103.2,27.8,14.9,39.2,15.863,624
2022-07-11T00:00:00.000Z,14.3,73.9,26.9,22.1,32.2,7.061,631
2022-07-12T00:00:00.000Z,10,66.7,22,19.5,26.1,6.825,637
2022-07-13T00:00:00.000Z,18.6,282.9,57,44.1,85.85,59.517,668
2022-07-14T00:00:00.000Z,23.7,183.6,61.3,53.1,67.65,30.312,577
2022-07-15T00:00:00.000Z,18.5,62.3,33.7,22.6,53.8,15.118,637
2022-07-16T00:00:00.000Z,8.2,47.7,27.4,21.9,33,8.503,655
2022-07-17T00:00:00.000Z,7.1,41,26.2,18.9,30.2,8.935,642
2022-07-18T00:00:00.000Z,0.1,42.6,10.1,2.1,31.5,14.341,567
2022-07-19T00:00:00.000Z,0.1,27.9,3.1,1.8,4.3,2.593,586
2022-07-20T00:00:00.000Z,1.5,26,5.6,3.8,7.85,4.296,640
2022-07-21T00:00:00.000Z,15.5,50.4,26.4,23.2,30.1,5.093,663
2022-07-22T00:00:00.000Z,0.4,44.8,8.1,2.9,28.3,12.885,626
2022-07-23T00:00:00.000Z,0.9,225.9,7.3,5.2,10.7,27.527,634
2022-07-24T00:00:00.000Z,0.3,136.3,19.4,1.8,31.75,22.595,633
2022-07-25T00:00:00.000Z,0,50.8,3.7,2.85,4.55,5.3,552
2022-07-26T00:00:00.000Z,0,29.5,2.6,0.5,4.9,5.133,438
2022-07-27T00:00:00.000Z,0,65,3.4,0.3,8.15,8.793,576
2022-07-28T00:00:00.000Z,0,25.2,1.1,0.2,3,3.537,467
2022-07-29T00:00:00.000Z,0,19,2,1,3.35,2.485,632
2022-07-30T00:00:00.000Z,0,59.7,3,1.2,21.25,15.651,604
2022-07-31T00:00:00.000Z,1.2,50.3,17.1,10.6,24.3,9.323,655
2022-08-01T00:00:00.000Z,10.1,48.2,21.4,17.7,25.4,5.854,604
2022-08-02T00:00:00.000Z,11.1,49.5,23.25,19.8,26.8,4.81,628
2022-08-03T00:00:00.000Z,5.4,53.8,22.6,10.4,31,12.848,646
2022-08-04T00:00:00.000Z,3.7,60.6,18.5,7.1,26.3,12.639,654
2022-08-05T00:00:00.000Z,4.1,43.8,15,9.44,17.9,5.721,652
2022-08-06T00:00:00.000Z,9.7,39.1,22.1,19.05,26.5,5.465,669
2022-08-07T00:00:00.000Z,6.2,56.5,22.2,14.2,26.5,8.92,655
2022-08-08T00:00:00.000Z,6.7,34.4,20,16.89,24,6.03,654
2022-08-09T00:00:00.000Z,7.3,47.6,28.1,19.1,35.1,10.593,665
2022-08-10T00:00:00.000Z,13,40.6,25.5,18.8,30.2,6.316,664
2022-08-11T00:00:00.000Z,7,37.4,23.95,16.7,27.9,7.786,670
2022-08-12T00:00:00.000Z,4.7,36.9,11.1,7.7,20.2,6.471,639
2022-08-13T00:00:00.000Z,2.7,46.4,19.5,10.6,23.5,8.376,658
2022-08-14T00:00:00.000Z,3.6,38.6,19,7.35,21.7,7.583,665
2022-08-15T00:00:00.000Z,8.4,31,21.2,14.9,25.1,6.105,651
2022-08-16T00:00:00.000Z,0,31.4,2.1,0.4,3,3.65,566
2022-08-17T00:00:00.000Z,0,7.8,2.3,1.5,3.7,1.443,599
2022-08-18T00:00:00.000Z,0,9.9,2.7,1.1,3.6,1.421,595
2022-08-19T00:00:00.000Z,0,15.7,1,0.3,1.6,2.048,450
2022-08-20T00:00:00.000Z,0,20.2,1.3,0.5,2.7,2.239,584
2022-08-21T00:00:00.000Z,0,74.6,5.2,2.7,7.9,16.448,509
2022-08-22T00:00:00.000Z,0,63.9,7.35,2.8,37.5,20.263,566
2022-08-23T00:00:00.000Z,0,17.2,1.4,0.3,5.2,2.862,347
2022-08-24T00:00:00.000Z,2.7,26.1,9.3,6.1,20.2,7.255,666
2022-08-25T00:00:00.000Z,0,57.6,15.6,6.5,23.6,13.89,646
2022-08-26T00:00:00.000Z,1.8,38.5,9.5,4.59,15.2,6.034,644
2022-08-27T00:00:00.000Z,9,47.9,18,15.4,19.8,4.135,645
2022-08-28T00:00:00.000Z,1.5,34.4,16.55,4.75,21.85,8.575,644
2022-08-29T00:00:00.000Z,1.5,30.9,7.5,5.2,17.6,7.495,645
2022-08-30T00:00:00.000Z,0,29.1,4.8,1.9,8,4.484,627
2022-08-31T00:00:00.000Z,0.2,19,3.6,2.8,4.7,1.925,632
2022-09-01T00:00:00.000Z,0,41.6,6.2,1.5,18.5,10.413,491
2022-09-02T00:00:00.000Z,0,37.9,1.8,0.7,3.2,3.754,616
2022-09-03T00:00:00.000Z,0,46.1,3.8,0.7,6.3,6.541,587
2022-09-04T00:00:00.000Z,0,19,2.4,1.05,4.8,2.351,620
2022-09-05T00:00:00.000Z,0,22.9,3.7,2.5,5.5,3.466,621
2022-09-06T00:00:00.000Z,0,29.1,0.9,0.2,3.4,2.559,524
2022-09-07T00:00:00.000Z,0.3,23.5,12.2,6.3,16.8,6.302,250
2022-09-14T00:00:00.000Z,0,11.6,2.1,1.35,3.8,1.986,48
2022-09-15T00:00:00.000Z,0,32.7,0.2,0.1,0.3,5.698,73
2022-09-16T00:00:00.000Z,4.2,35.9,11.45,7.3,16.4,7.988,230
2022-09-17T00:00:00.000Z,1.4,36.7,7.1,3.4,13.7,6.49,434
2022-09-18T00:00:00.000Z,0.6,23.3,4.5,3.2,7.2,3.806,650
2022-09-19T00:00:00.000Z,1.7,102.9,10,6.7,19.5,10.29,617
2022-09-20T00:00:00.000Z,9.3,46.5,26.1,20.55,29.25,6.383,621
2022-09-21T00:00:00.000Z,13.9,63.3,36.2,26.2,44.9,11.88,586
2022-09-22T00:00:00.000Z,40.4,65.5,50.7,48.65,53.2,4.97,225
2022-09-28T00:00:00.000Z,0,7.9,0.6,0.2,1.4,1.243,159
2022-09-29T00:00:00.000Z,0,3.2,0.2,0.1,0.4,0.548,238
2022-09-30T00:00:00.000Z,0,7.5,0.1,0,0.2,0.976,213
2022-10-01T00:00:00.000Z,0,21.6,2.2,0.5,6.2,4.598,533
2022-10-02T00:00:00.000Z,0,64.4,4.3,3,6.2,4.637,586
2022-10-03T00:00:00.000Z,0,67.7,4.34,0.9,10,8.615,614
2022-10-04T00:00:00.000Z,3.6,95.4,18.6,12.5,23.7,11.255,661
2022-10-05T00:00:00.000Z,0,38.9,13.55,3.2,22.7,9.839,642
2022-10-06T00:00:00.000Z,0.1,50.6,7.7,4.8,21.7,12.579,654
2022-10-07T00:00:00.000Z,8.3,94.3,26.15,18.6,39.7,13.846,658
2022-10-08T00:00:00.000Z,11.5,71.4,28.1,20.05,37.3,9.93,657
2022-10-09T00:00:00.000Z,0.8,46.4,18.39,6.9,39.4,15.632,658
2022-10-10T00:00:00.000Z,0,85.8,5.8,3.1,44.6,22.509,646
2022-10-11T00:00:00.000Z,0,55,16.2,8.8,25.2,12.035,644
2022-10-12T00:00:00.000Z,3.8,24.9,10.05,6.9,17.2,5.71,632
2022-10-13T00:00:00.000Z,0,59.2,21.65,6.3,28.3,13.357,638
2022-10-14T00:00:00.000Z,0,69.9,6.3,3.7,14.1,10.291,615
2022-10-15T00:00:00.000Z,2.7,230.6,23.6,8.7,44.1,24.735,671
2022-10-16T00:00:00.000Z,0,14.6,1.2,0.3,2.5,1.804,456
2022-10-17T00:00:00.000Z,0,66.9,15.8,5.7,33.6,16.491,614
2022-10-18T00:00:00.000Z,4.1,61.8,10.7,8.1,16,6.35,467
2022-10-21T00:00:00.000Z,0,14.4,4,1.7,5.9,2.741,602
2022-10-22T00:00:00.000Z,0,9.6,0.9,0.2,2.65,1.831,472
2022-10-23T00:00:00.000Z,0,15.9,1.5,0.7,3.4,1.781,591
2022-10-24T00:00:00.000Z,0,55.8,6,2.6,8.8,8.679,643
2022-10-25T00:00:00.000Z,0,11,1.2,0.6,2.1,1.404,564
2022-10-26T00:00:00.000Z,0,21.3,2.8,1.1,5.5,3.32,611
2022-10-27T00:00:00.000Z,0,23.4,4.09,1.8,5.5,4.328,618
2022-10-28T00:00:00.000Z,0,18.4,3.1,0.4,6.3,3.819,574
2022-10-29T00:00:00.000Z,0,79.2,5.8,3.1,12.6,10.632,633
2022-10-30T00:00:00.000Z,0,66.6,5.95,0.8,20.9,14.994,606
2022-10-31T00:00:00.000Z,0,57.2,2.1,0.3,10.3,9.719,546
2022-11-01T00:00:00.000Z,0,69.1,7.5,2.6,24,15.516,638
2022-11-02T00:00:00.000Z,0,115,11.8,4.25,44.65,21.865,664
2022-11-03T00:00:00.000Z,0,43.2,4.4,1.35,9.1,7.22,481
2022-11-04T00:00:00.000Z,0,147.9,5.9,2.1,25.2,22.103,647
2022-11-05T00:00:00.000Z,1.2,281,21.5,10.3,51.65,39.159,677
2022-11-06T00:00:00.000Z,2.3,174.9,24.8,11.1,42.85,24.12,673
2022-11-07T00:00:00.000Z,0.1,163.4,23.6,16.5,39.1,21.644,664
2022-11-08T00:00:00.000Z,0,74.8,2.65,1.1,6.35,10.745,624
2022-11-09T00:00:00.000Z,0,52.5,6.6,3.2,19.6,10.608,615
2022-11-10T00:00:00.000Z,0,128,9.19,3.6,36.4,27.302,651
2022-11-11T00:00:00.000Z,0.9,192.5,10.8,4.4,22.2,17.596,662
2022-11-12T00:00:00.000Z,0,724.3,11.3,3.1,79.05,74.095,661
2022-11-13T00:00:00.000Z,0,82.9,17.3,6.5,25,13.497,583
2022-11-14T00:00:00.000Z,0,98.7,6.4,1.4,14.5,10.069,546
2022-11-15T00:00:00.000Z,0,40.9,1.1,0.2,4.9,6.396,462
2022-11-16T00:00:00.000Z,0,37.9,0.2,0.1,0.6,3.261,177
2022-11-17T00:00:00.000Z,0,187.1,2.6,0.4,9.44,13.581,493
2022-11-18T00:00:00.000Z,0,77.6,2.9,0.8,19.1,22.373,490
2022-11-19T00:00:00.000Z,0,73.9,16.7,6.3,39.35,18.999,661
2022-11-20T00:00:00.000Z,0,59,5.4,2.3,16.2,11.862,531
2022-11-21T00:00:00.000Z,0,81.3,2.29,0.2,5.09,15.891,395
2022-11-22T00:00:00.000Z,0,66.9,5.09,1.3,12.8,9.381,391
2022-11-23T00:00:00.000Z,0,149.7,6.35,3.5,28.6,22.244,526
2022-11-24T00:00:00.000Z,0,63.7,5.05,0.8,18.05,12.639,536
2022-11-25T00:00:00.000Z,0,128.8,6.7,1.5,48.15,27.906,660
2022-11-26T00:00:00.000Z,0,157.3,18.2,3.7,66.65,32.975,641
2022-11-27T00:00:00.000Z,2.6,218,22.4,8.75,38.6,21.851,669
2022-11-28T00:00:00.000Z,0,148.9,12.3,5.6,40.15,32.128,661
2022-11-29T00:00:00.000Z,0.2,279.2,23.2,15.9,65.95,36.611,677
2022-11-30T00:00:00.000Z,0.3,92.2,14.8,5.1,48.4,24.477,649
2022-12-01T00:00:00.000Z,0,303.6,25.1,4.5,61.95,44.861,496
2022-12-02T00:00:00.000Z,0,139.3,6.5,3.2,51.3,32.182,670
2022-12-03T00:00:00.000Z,1.1,385.3,20.05,8.4,68.95,55.087,672
2022-12-04T00:00:00.000Z,6.9,183.6,43.2,29.8,59.5,23.082,690
2022-12-05T00:00:00.000Z,0,152.7,10.5,1.5,48.7,30.658,664
