date,min,max,median,q1,q3,stdev,count
2022-03-29T00:00:00.000Z,4.97,21.8,12.43,10.68,14.26,2.95,693
2022-03-30T00:00:00.000Z,4.55,16.8,9.06,7.63,10.95,2.338,682
2022-03-31T00:00:00.000Z,0.8,28.17,5.6,2.7,16.27,7.477,698
2022-04-01T00:00:00.000Z,0.7,14.25,2.42,1.76,3.41,1.668,640
2022-04-02T00:00:00.000Z,1.08,5.78,2.29,1.9,3.03,0.893,234
2022-04-03T00:00:00.000Z,0.35,10.48,3.53,2.4,5.37,2.322,96
2022-04-04T00:00:00.000Z,1,13.63,2.39,1.83,3.42,2.225,142
2022-04-05T00:00:00.000Z,2.83,41.25,18.23,11.35,20.64,6.714,108
2022-04-06T00:00:00.000Z,1.38,46.38,14.42,9.69,17.86,6.629,272
2022-04-07T00:00:00.000Z,5.8,10.85,7.85,7.19,8.68,1.014,180
2022-04-08T00:00:00.000Z,3.03,31.23,25.09,20.07,27.54,8.75,24
2022-04-09T00:00:00.000Z,0.73,22.2,9.63,7.22,12.15,3.767,127
2022-04-10T00:00:00.000Z,0.56,10.45,3.2,2.09,4.18,1.73,172
2022-04-11T00:00:00.000Z,1.33,13.55,3.45,2.6,6.05,2.407,488
2022-04-12T00:00:00.000Z,1.3,36.08,3.82,2.95,5.46,2.981,700
2022-04-13T00:00:00.000Z,1.02,28.13,5.07,2.42,10.63,4.664,682
2022-04-14T00:00:00.000Z,1.2,29.88,5.25,3.53,6.6,2.942,488
2022-04-15T00:00:00.000Z,1.6,28.02,7.47,4.2,10.6,3.744,667
2022-04-16T00:00:00.000Z,7.65,28.58,17.27,15.18,22.12,4.03,241
2022-04-17T00:00:00.000Z,2.88,5.25,3.95,3.63,4.72,0.685,10
2022-04-18T00:00:00.000Z,1.4,20.83,3.6,2.63,4.32,3.176,55
2022-04-19T00:00:00.000Z,0.4,4.28,1.77,1.4,2.25,0.698,437
2022-04-20T00:00:00.000Z,0.9,24.98,2.1,1.72,2.91,1.81,337
2022-04-21T00:00:00.000Z,1.42,31.88,4.09,3.17,6.7,3.239,680
2022-04-22T00:00:00.000Z,0.6,85.05,2.6,1.92,4.03,7.957,686
2022-04-23T00:00:00.000Z,0.8,7.47,4.2,2.95,5.13,1.694,171
2022-04-26T00:00:00.000Z,2.15,13.8,4.8,3.07,9.43,3.495,24
2022-04-27T00:00:00.000Z,0.93,26.2,3.92,2.1,9.88,4.686,357
2022-04-28T00:00:00.000Z,0.7,18.98,3.17,1.75,7.02,3.18,633
2022-04-29T00:00:00.000Z,1.1,8.6,3.12,2.33,4.22,1.362,194
2022-04-30T00:00:00.000Z,18.89,19.63,19.52,18.89,19.63,0.321,3
2022-05-01T00:00:00.000Z,7.72,25.15,19.22,16.91,20.54,3.452,64
2022-05-02T00:00:00.000Z,3.22,8.15,4.34,3.82,4.87,1.185,28
2022-05-03T00:00:00.000Z,2.08,6.47,4.05,3.51,4.59,0.778,160
2022-05-04T00:00:00.000Z,3.28,6.55,4.76,4.19,5.28,0.795,68
2022-05-05T00:00:00.000Z,3.78,21.77,6.78,6.13,13.7,5.772,7
2022-05-06T00:00:00.000Z,4.8,16.98,11.45,9.98,12.4,2.123,147
2022-05-07T00:00:00.000Z,5.65,13.13,10.65,9.93,12.11,2.056,9
2022-05-08T00:00:00.000Z,3.53,4.34,4,3.53,4.34,0.336,3
2022-05-10T00:00:00.000Z,5.65,9.44,6.22,5.99,7.06,1.089,9
2022-05-11T00:00:00.000Z,10.1,22.45,16.67,14.55,19.35,3.305,21
2022-05-12T00:00:00.000Z,5.4,14.8,7.68,6.68,9.13,2.056,55
2022-05-13T00:00:00.000Z,5.25,7.57,6.2,5.43,7.19,0.929,4
2022-05-15T00:00:00.000Z,2.75,10.63,4.04,3.7,5.07,1.752,22
2022-05-17T00:00:00.000Z,6.5,6.5,6.5,6.5,6.5,0,1
2022-05-19T00:00:00.000Z,6.57,10.48,7.92,6.96,8.68,1.133,24
2022-05-21T00:00:00.000Z,5.55,30.42,14.25,9.8,17.1,5.14,79
2022-05-26T00:00:00.000Z,2.88,4.78,3.83,2.88,4.78,0.95,2
2022-05-31T00:00:00.000Z,2.38,16.67,5.07,4.28,6.43,3.634,186
2022-06-01T00:00:00.000Z,1.05,19.23,5.78,3.17,9.56,4.323,508
2022-06-02T00:00:00.000Z,1.83,8.69,4,3.17,5.13,1.577,233
2022-06-03T00:00:00.000Z,3.15,6.68,4.95,4.03,5.45,1.083,10
2022-06-04T00:00:00.000Z,2.6,7.43,5.84,3.79,6.22,1.444,24
2022-06-05T00:00:00.000Z,1.23,11.23,6,2.5,7.97,2.884,99
2022-06-06T00:00:00.000Z,2.04,4.8,3.28,2.83,3.65,0.591,123
2022-06-08T00:00:00.000Z,0.5,1.52,0.88,0.7,1.1,0.293,10
2022-06-09T00:00:00.000Z,1.1,16.88,3.28,2.02,5.17,2.669,121
2022-06-10T00:00:00.000Z,1.42,53.08,4.4,3.67,5.14,6.502,101
2022-06-11T00:00:00.000Z,2.9,9,5.88,5.15,6.57,1.225,91
2022-06-12T00:00:00.000Z,3.72,13.43,5.62,5.15,6.38,1.335,188
2022-06-13T00:00:00.000Z,2.9,10.75,6.57,5,7.28,1.504,206
2022-06-14T00:00:00.000Z,5.05,28.9,9.3,8.02,11.25,2.293,387
2022-06-16T00:00:00.000Z,10.38,11.43,10.63,10.38,11.43,0.448,3
2022-06-17T00:00:00.000Z,13.63,13.63,13.63,13.63,13.63,0,1
2022-06-21T00:00:00.000Z,2.4,6.53,4.13,3.53,4.53,0.849,42
2022-06-22T00:00:00.000Z,3.58,6.47,4.69,4.2,5.77,0.976,12
2022-06-23T00:00:00.000Z,4.5,7.45,6.49,6.32,7.4,0.977,6
2022-06-26T00:00:00.000Z,3.15,3.15,3.15,3.15,3.15,0,1
2022-06-28T00:00:00.000Z,1.9,2.33,2.12,1.9,2.33,0.215,2
2022-06-29T00:00:00.000Z,1.7,4.78,2.75,2.25,4.01,0.961,25
2022-06-30T00:00:00.000Z,0.9,7.55,2.42,1.9,3.01,1.072,120
2022-07-01T00:00:00.000Z,3.85,3.85,3.85,3.85,3.85,0,1
2022-07-02T00:00:00.000Z,3.03,12.68,6.88,4.29,9.13,2.626,73
2022-07-03T00:00:00.000Z,3.65,26.92,13.4,11.77,16.48,4.476,30
2022-07-04T00:00:00.000Z,6.22,14.15,7.9,6.99,12.13,2.582,36
2022-07-05T00:00:00.000Z,3.72,3.78,3.75,3.72,3.78,0.03,2
2022-07-06T00:00:00.000Z,2.58,6.13,4.07,3.55,4.8,0.794,29
2022-07-07T00:00:00.000Z,0.6,5.72,2.04,1.42,3,1.219,162
2022-07-08T00:00:00.000Z,0.13,1.92,0.68,0.4,1,0.444,43
2022-07-09T00:00:00.000Z,3.25,13,4.13,3.25,13,4.403,3
2022-07-10T00:00:00.000Z,4.22,18.35,8.15,5.46,10.18,2.699,157
2022-07-11T00:00:00.000Z,6.75,18.7,11.88,9.68,13.98,2.628,79
2022-07-12T00:00:00.000Z,3.13,15.55,8.09,5.14,12.11,3.596,152
2022-07-13T00:00:00.000Z,13.3,120.7,53.28,43.15,68.8,18.674,149
2022-07-14T00:00:00.000Z,25.42,57.33,34.49,29.67,36.78,5.197,82
2022-07-15T00:00:00.000Z,21.1,31.77,28.02,26.33,29.2,2.185,70
2022-07-16T00:00:00.000Z,3.83,17.14,7.47,5.9,12.65,3.706,151
2022-07-18T00:00:00.000Z,1.9,7.65,4.45,3.97,5.05,0.905,255
2022-07-19T00:00:00.000Z,1.8,10.18,3.84,3.4,4.57,1.756,74
2022-07-20T00:00:00.000Z,5.55,9.6,7.29,6.47,7.76,0.984,44
2022-07-21T00:00:00.000Z,6.5,18.05,8.93,7.85,11.27,2.424,75
2022-07-22T00:00:00.000Z,1.38,22.2,2.78,2.35,3.38,2.025,231
2022-07-23T00:00:00.000Z,1.95,12.75,4.72,3.57,6.3,1.798,552
2022-07-24T00:00:00.000Z,1.98,42.4,8.4,3.28,11.1,5.394,580
2022-07-25T00:00:00.000Z,0.4,19.88,3.78,2.27,4.84,2.21,663
2022-07-26T00:00:00.000Z,0.2,7,3.42,1.42,4.53,1.704,608
2022-07-27T00:00:00.000Z,1.45,7.57,2.04,1.7,4.63,1.76,35
2022-07-28T00:00:00.000Z,1.42,5.63,2.95,2.42,3.44,0.757,105
2022-07-30T00:00:00.000Z,0.82,67.06,4.57,2.6,16.1,10.709,571
2022-07-31T00:00:00.000Z,0.68,72,4.65,3.29,8.39,4.598,552
2022-08-01T00:00:00.000Z,4.88,17.85,10.52,9.25,12.1,2.134,250
2022-08-02T00:00:00.000Z,7.25,51.45,11.69,10.24,13.86,6.039,448
2022-08-03T00:00:00.000Z,16.89,44.67,29.95,23.39,36.42,7.426,133
2022-08-04T00:00:00.000Z,5.95,30.05,9.38,8.19,10.57,3.949,39
2022-08-05T00:00:00.000Z,5.75,19.98,11.5,10.93,12.45,2.61,91
2022-08-06T00:00:00.000Z,12.85,26.02,17.1,15.05,21.67,3.721,38
2022-08-07T00:00:00.000Z,21.33,29.88,26.9,24.5,28.13,2.165,45
2022-08-08T00:00:00.000Z,11.88,36.53,22.7,16.39,28.65,6.648,127
2022-08-09T00:00:00.000Z,5.82,45.23,16.3,9.03,28.01,11.055,204
2022-08-13T00:00:00.000Z,3.67,6.45,4.44,3.95,4.72,0.786,10
2022-08-14T00:00:00.000Z,2.8,4.38,3.15,3.05,4,0.533,7
2022-08-15T00:00:00.000Z,3.35,28.92,6.1,5.13,9.05,4.167,259
2022-08-16T00:00:00.000Z,2.45,18.45,5.05,4.3,5.53,1.986,59
2022-08-18T00:00:00.000Z,1.12,4.72,2.38,1.88,3.2,0.889,19
2022-08-19T00:00:00.000Z,0.8,13.77,2.97,2.1,3.91,1.747,304
2022-08-20T00:00:00.000Z,1.58,4.75,2.58,2.29,2.95,0.594,199
2022-08-21T00:00:00.000Z,0.22,75.15,9.02,0.8,35.53,22.465,202
2022-08-23T00:00:00.000Z,1,1.38,1.19,1,1.38,0.19,2
2022-08-24T00:00:00.000Z,5.05,13.4,7.68,6.9,8.38,1.456,118
2022-08-25T00:00:00.000Z,5.9,23.4,11.63,9.27,19.75,5.602,39
2022-08-26T00:00:00.000Z,1.02,14.75,5.45,3.8,7.63,2.967,438
2022-08-27T00:00:00.000Z,3.65,29.58,9.13,6.79,10.55,2.52,653
2022-08-28T00:00:00.000Z,2.2,19.88,7.24,4.59,11.38,4.198,666
2022-08-29T00:00:00.000Z,3.22,11.23,7.42,6.84,7.74,1.261,36
2022-08-31T00:00:00.000Z,2,11.1,4.69,3.54,5.67,1.612,252
2022-09-01T00:00:00.000Z,0.55,65.95,18.13,14.04,22.52,10.311,273
2022-09-02T00:00:00.000Z,1.1,16.07,3.97,2.9,6.56,2.844,297
2022-09-03T00:00:00.000Z,5.6,10.7,7.62,6.65,8.41,1.224,40
2022-09-05T00:00:00.000Z,3.25,71.55,7,5.35,11.63,6.1,238
2022-09-06T00:00:00.000Z,2.04,36.67,6.02,4.22,8.13,2.987,628
2022-09-07T00:00:00.000Z,6.1,15.38,10.6,9.43,11.9,1.826,123
2022-09-08T00:00:00.000Z,6.97,10.19,7.85,7.53,8.63,0.896,11
2022-09-12T00:00:00.000Z,3.83,5.35,4.59,3.83,5.35,0.76,2
2022-09-13T00:00:00.000Z,1.4,3.2,2.1,1.74,2.58,0.441,21
2022-09-16T00:00:00.000Z,1.58,22.27,9.05,3.81,10.35,4.817,89
2022-09-17T00:00:00.000Z,1.8,23.1,8.88,6.19,13.02,4.513,201
2022-09-18T00:00:00.000Z,1.2,13.98,5.01,2.42,6.57,2.506,170
2022-09-19T00:00:00.000Z,2.08,18.13,10.87,10.07,12.75,2.734,134
2022-09-20T00:00:00.000Z,12.25,16.3,13.68,13.04,14.44,0.998,32
2022-09-22T00:00:00.000Z,10.75,25.8,17.55,14.88,19.1,3.131,51
2022-09-23T00:00:00.000Z,3.03,60.03,6.19,5.09,42.63,18.887,316
2022-09-24T00:00:00.000Z,0.6,3.85,1.23,0.8,2.47,1.076,23
2022-09-25T00:00:00.000Z,0.5,2.35,1.43,1.08,1.73,0.507,14
2022-09-26T00:00:00.000Z,0.8,2.75,1.33,0.93,2.2,0.645,11
2022-09-27T00:00:00.000Z,4.65,5.5,5.4,4.99,5.49,0.345,4
2022-10-01T00:00:00.000Z,0.73,2.04,1.53,1.17,1.65,0.377,8
2022-10-04T00:00:00.000Z,3.1,12.07,8.18,6.97,9.44,1.99,67
2022-10-05T00:00:00.000Z,4.59,41.28,9.49,8.25,10.65,5.696,92
2022-10-06T00:00:00.000Z,2.08,12.95,5.6,4.59,6.32,1.844,60
2022-10-12T00:00:00.000Z,2.33,18.89,6.39,3.64,14.7,5.644,48
2022-10-13T00:00:00.000Z,1.35,18.64,15.34,2.72,16.97,7.069,8
